ARO	AMR gene family	ARGs	Class	resistance mechanisms	Length
ARO:3001635	OXA beta-lactamase	OXA-82	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001636	OXA beta-lactamase	OXA-104	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001637	OXA beta-lactamase	OXA-106	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001638	OXA beta-lactamase	OXA-107	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001639	OXA beta-lactamase	OXA-108	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001640	OXA beta-lactamase	OXA-109	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001641	OXA beta-lactamase	OXA-110	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001642	OXA beta-lactamase	OXA-111	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001643	OXA beta-lactamase	OXA-112	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001644	OXA beta-lactamase	OXA-113	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001645	OXA beta-lactamase	OXA-78	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001646	OXA beta-lactamase	OXA-98	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001647	OXA beta-lactamase	OXA-97	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3001648	OXA beta-lactamase	OXA-128	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001649	OXA beta-lactamase	OXA-99	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001650	OXA beta-lactamase	OXA-90	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001651	OXA beta-lactamase	OXA-130	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001652	OXA beta-lactamase	OXA-131	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001653	OXA beta-lactamase	OXA-132	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001654	OXA beta-lactamase	OXA-143	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001655	OXA beta-lactamase	OXA-138	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001656	OXA beta-lactamase	OXA-172	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001657	OXA beta-lactamase	OXA-173	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001658	OXA beta-lactamase	OXA-174	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001659	OXA beta-lactamase	OXA-175	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001660	OXA beta-lactamase	OXA-176	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001661	OXA beta-lactamase	OXA-177	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001662	OXA beta-lactamase	OXA-164	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3001663	OXA beta-lactamase	OXA-160	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001664	OXA beta-lactamase	OXA-203	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001665	OXA beta-lactamase	OXA-200	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001666	OXA beta-lactamase	OXA-201	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001667	OXA beta-lactamase	OXA-202	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001668	OXA beta-lactamase	OXA-219	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001669	OXA beta-lactamase	OXA-223	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001670	OXA beta-lactamase	OXA-231	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001671	OXA beta-lactamase	OXA-49	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001672	OXA beta-lactamase	OXA-120	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001673	OXA beta-lactamase	OXA-248	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001674	OXA beta-lactamase	OXA-249	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001675	OXA beta-lactamase	OXA-250	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001676	OXA beta-lactamase	OXA-235	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001677	OXA beta-lactamase	OXA-236	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001678	OXA beta-lactamase	OXA-237	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001679	OXA beta-lactamase	OXA-241	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001680	OXA beta-lactamase	OXA-242	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001681	OXA beta-lactamase	OXA-278	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001682	OXA beta-lactamase	OXA-254	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001683	OXA beta-lactamase	OXA-312	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001684	OXA beta-lactamase	OXA-313	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001685	OXA beta-lactamase	OXA-314	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001686	OXA beta-lactamase	OXA-315	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001687	OXA beta-lactamase	OXA-316	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001688	OXA beta-lactamase	OXA-317	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001689	OXA beta-lactamase	OXA-253	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001690	OXA beta-lactamase	OXA-255	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001691	OXA beta-lactamase	OXA-228	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001692	OXA beta-lactamase	OXA-229	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001693	OXA beta-lactamase	OXA-230	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001694	OXA beta-lactamase	OXA-257	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001695	OXA beta-lactamase	OXA-134	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001702	OXA beta-lactamase	OXA-133	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001703	OXA beta-lactamase	OXA-86	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001704	OXA beta-lactamase	OXA-87	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001705	OXA beta-lactamase	OXA-72	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001707	OXA beta-lactamase	OXA-103	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001709	OXA beta-lactamase	OXA-182	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001710	OXA beta-lactamase	OXA-211	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001711	OXA beta-lactamase	OXA-212	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001712	OXA beta-lactamase	OXA-213	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001713	OXA beta-lactamase	OXA-214	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001714	OXA beta-lactamase	OXA-215	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001715	OXA beta-lactamase	OXA-259	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001716	OXA beta-lactamase	OXA-260	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001717	OXA beta-lactamase	OXA-261	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001718	OXA beta-lactamase	OXA-262	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001719	OXA beta-lactamase	OXA-263	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001720	OXA beta-lactamase	OXA-264	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001721	OXA beta-lactamase	OXA-265	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001722	OXA beta-lactamase	OXA-266	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001723	OXA beta-lactamase	OXA-267	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001724	OXA beta-lactamase	OXA-268	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001725	OXA beta-lactamase	OXA-269	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001726	OXA beta-lactamase	OXA-270	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001727	OXA beta-lactamase	OXA-271	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001728	OXA beta-lactamase	OXA-272	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001729	OXA beta-lactamase	OXA-273	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001730	OXA beta-lactamase	OXA-274	carbapenem;cephalosporin;penam	antibiotic inactivation	281
ARO:3001731	OXA beta-lactamase	OXA-275	carbapenem;cephalosporin;penam	antibiotic inactivation	281
ARO:3001732	OXA beta-lactamase	OXA-276	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001733	OXA beta-lactamase	OXA-277	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001734	OXA beta-lactamase	OXA-279	carbapenem;cephalosporin;penam	antibiotic inactivation	279
ARO:3001735	OXA beta-lactamase	OXA-280	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001736	OXA beta-lactamase	OXA-281	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001737	OXA beta-lactamase	OXA-282	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001738	OXA beta-lactamase	OXA-283	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001739	OXA beta-lactamase	OXA-284	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001740	OXA beta-lactamase	OXA-285	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001741	OXA beta-lactamase	OXA-286	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3001742	OXA beta-lactamase	OXA-287	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001743	OXA beta-lactamase	OXA-288	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3001746	OXA beta-lactamase	OXA-291	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001747	OXA beta-lactamase	OXA-292	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001748	OXA beta-lactamase	OXA-293	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001749	OXA beta-lactamase	OXA-294	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001750	OXA beta-lactamase	OXA-295	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001751	OXA beta-lactamase	OXA-296	carbapenem;cephalosporin;penam	antibiotic inactivation	284
ARO:3001752	OXA beta-lactamase	OXA-297	carbapenem;cephalosporin;penam	antibiotic inactivation	285
ARO:3001753	OXA beta-lactamase	OXA-298	carbapenem;cephalosporin;penam	antibiotic inactivation	285
ARO:3001754	OXA beta-lactamase	OXA-299	carbapenem;cephalosporin;penam	antibiotic inactivation	277
ARO:3001755	OXA beta-lactamase	OXA-300	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001756	OXA beta-lactamase	OXA-301	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001757	OXA beta-lactamase	OXA-302	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3001758	OXA beta-lactamase	OXA-303	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3001759	OXA beta-lactamase	OXA-304	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001760	OXA beta-lactamase	OXA-305	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001761	OXA beta-lactamase	OXA-306	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001762	OXA beta-lactamase	OXA-307	carbapenem;cephalosporin;penam	antibiotic inactivation	278
ARO:3001763	OXA beta-lactamase	OXA-308	carbapenem;cephalosporin;penam	antibiotic inactivation	279
ARO:3001764	OXA beta-lactamase	OXA-63	carbapenem;cephalosporin;penam	antibiotic inactivation	268
ARO:3001765	OXA beta-lactamase	OXA-136	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3001766	OXA beta-lactamase	OXA-192	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3001767	OXA beta-lactamase	OXA-137	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3001768	OXA beta-lactamase	OXA-118	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001769	OXA beta-lactamase	OXA-42	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3001770	OXA beta-lactamase	OXA-43	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3001771	OXA beta-lactamase	OXA-57	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3001772	OXA beta-lactamase	OXA-59	carbapenem;cephalosporin;penam	antibiotic inactivation	269
ARO:3001773	OXA beta-lactamase	OXA-61	carbapenem;cephalosporin;penam	antibiotic inactivation	257
ARO:3001774	OXA beta-lactamase	OXA-370	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001775	OXA beta-lactamase	OXA-119	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001776	OXA beta-lactamase	OXA-162	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001777	OXA beta-lactamase	OXA-347	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001778	OXA beta-lactamase	OXA-232	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001779	OXA beta-lactamase	OXA-146	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001780	OXA beta-lactamase	OXA-85	carbapenem;cephalosporin;penam	antibiotic inactivation	254
ARO:3001781	OXA beta-lactamase	OXA-47	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001782	OXA beta-lactamase	OXA-48	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001783	OXA beta-lactamase	OXA-163	carbapenem;cephalosporin;penam	antibiotic inactivation	261
ARO:3001784	OXA beta-lactamase	OXA-181	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001785	OXA beta-lactamase	OXA-73	carbapenem;cephalosporin;penam	antibiotic inactivation	273
ARO:3001786	OXA beta-lactamase	OXA-244	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001787	OXA beta-lactamase	OXA-245	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001788	OXA beta-lactamase	OXA-204	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001791	OXA beta-lactamase	OXA-247	carbapenem;cephalosporin;penam	antibiotic inactivation	261
ARO:3001792	OXA beta-lactamase	OXA-62	carbapenem;cephalosporin;penam	antibiotic inactivation	285
ARO:3001793	OXA beta-lactamase	OXA-320	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001794	OXA beta-lactamase	OXA-45	carbapenem;cephalosporin;penam	antibiotic inactivation	264
ARO:3001795	OXA beta-lactamase	OXA-56	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001796	OXA beta-lactamase	OXA-50	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3001797	OXA beta-lactamase	OXA-46	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001798	OXA beta-lactamase	OXA-74	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001799	OXA beta-lactamase	OXA-161	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001800	OXA beta-lactamase	OXA-226	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001801	OXA beta-lactamase	OXA-147	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001802	OXA beta-lactamase	OXA-141	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001803	OXA beta-lactamase	OXA-142	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001804	OXA beta-lactamase	OXA-145	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001805	OXA beta-lactamase	OXA-198	carbapenem;cephalosporin;penam	antibiotic inactivation	262
ARO:3001806	OXA beta-lactamase	OXA-224	carbapenem;cephalosporin;penam	antibiotic inactivation	276
ARO:3001807	OXA beta-lactamase	OXA-246	carbapenem;cephalosporin;penam	antibiotic inactivation	266
ARO:3001808	OXA beta-lactamase	OXA-60	carbapenem;cephalosporin;penam	antibiotic inactivation	271
ARO:3001809	OXA beta-lactamase	OXA-209	carbapenem;cephalosporin;penam	antibiotic inactivation	274
ARO:3001810	OXA beta-lactamase	OXA-53	carbapenem;cephalosporin;penam	antibiotic inactivation	275
ARO:3001811	OXA beta-lactamase	OXA-129	carbapenem;cephalosporin;penam	antibiotic inactivation	267
ARO:3001812	OXA beta-lactamase	OXA-54	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001813	OXA beta-lactamase	OXA-55	carbapenem;cephalosporin;penam	antibiotic inactivation	289
ARO:3001814	OXA beta-lactamase	OXA-199	carbapenem;cephalosporin;penam	antibiotic inactivation	265
ARO:3001815	ACC beta-lactamase	ACC-1	cephalosporin;monobactam;penam	antibiotic inactivation	386
ARO:3001816	ACC beta-lactamase	ACC-2	cephalosporin;monobactam;penam	antibiotic inactivation	390
ARO:3001817	ACC beta-lactamase	ACC-3	cephalosporin;monobactam;penam	antibiotic inactivation	377
ARO:3001818	ACC beta-lactamase	ACC-4	cephalosporin;monobactam;penam	antibiotic inactivation	386
ARO:3001819	ACC beta-lactamase	ACC-5	cephalosporin;monobactam;penam	antibiotic inactivation	386
ARO:3001821	ACT beta-lactamase	ACT-1	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001822	ACT beta-lactamase	ACT-2	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001823	ACT beta-lactamase	ACT-3	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001824	ACT beta-lactamase	ACT-5	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001825	ACT beta-lactamase	ACT-6	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001826	ACT beta-lactamase	ACT-9	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	380
ARO:3001827	ACT beta-lactamase	ACT-16	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	380
ARO:3001828	ACT beta-lactamase	ACT-23	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001829	ACT beta-lactamase	ACT-4	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	380
ARO:3001830	ACT beta-lactamase	ACT-7	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001831	ACT beta-lactamase	ACT-8	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001832	ACT beta-lactamase	ACT-10	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001834	ACT beta-lactamase	ACT-12	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001835	ACT beta-lactamase	ACT-13	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001836	ACT beta-lactamase	ACT-14	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001837	ACT beta-lactamase	ACT-15	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001838	ACT beta-lactamase	ACT-17	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001839	ACT beta-lactamase	ACT-18	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001840	ACT beta-lactamase	ACT-19	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001841	ACT beta-lactamase	ACT-20	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001842	ACT beta-lactamase	ACT-21	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001843	ACT beta-lactamase	ACT-22	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001844	ACT beta-lactamase	ACT-24	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001845	ACT beta-lactamase	ACT-25	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001847	ACT beta-lactamase	ACT-27	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001848	ACT beta-lactamase	ACT-28	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001849	ACT beta-lactamase	ACT-29	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001850	ACT beta-lactamase	ACT-30	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001851	ACT beta-lactamase	ACT-31	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001852	ACT beta-lactamase	ACT-32	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001853	ACT beta-lactamase	ACT-33	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001854	ACT beta-lactamase	ACT-34	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001855	ACT beta-lactamase	ACT-35	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	381
ARO:3001856	CMY beta-lactamase	CFE-1	cephamycin	antibiotic inactivation	381
ARO:3001857	CMY beta-lactamase	LAT-1	cephamycin	antibiotic inactivation	381
ARO:3001858	IMI beta-lactamase	IMI-1	carbapenem	antibiotic inactivation	292
ARO:3001859	IMI beta-lactamase	IMI-2	carbapenem	antibiotic inactivation	292
ARO:3001860	IMI beta-lactamase	IMI-3	carbapenem	antibiotic inactivation	292
ARO:3001861	IMI beta-lactamase	IMI-4	carbapenem	antibiotic inactivation	292
ARO:3001862	IMI beta-lactamase	IMI-5	carbapenem	antibiotic inactivation	292
ARO:3001863	IMI beta-lactamase	IMI-6	carbapenem	antibiotic inactivation	292
ARO:3001864	CTX-M beta-lactamase	CTX-M-1	cephalosporin	antibiotic inactivation	291
ARO:3001865	CTX-M beta-lactamase	CTX-M-2	cephalosporin	antibiotic inactivation	291
ARO:3001866	CTX-M beta-lactamase	CTX-M-3	cephalosporin;cephamycin;penam	antibiotic inactivation	291
ARO:3001867	CTX-M beta-lactamase	CTX-M-4	cephalosporin	antibiotic inactivation	291
ARO:3001868	CTX-M beta-lactamase	CTX-M-5	cephalosporin	antibiotic inactivation	291
ARO:3001869	CTX-M beta-lactamase	CTX-M-6	cephalosporin	antibiotic inactivation	291
ARO:3001870	CTX-M beta-lactamase	CTX-M-7	cephalosporin	antibiotic inactivation	291
ARO:3001871	CTX-M beta-lactamase	CTX-M-8	cephalosporin	antibiotic inactivation	291
ARO:3001872	CTX-M beta-lactamase	CTX-M-9	cephalosporin	antibiotic inactivation	291
ARO:3001873	CTX-M beta-lactamase	CTX-M-10	cephalosporin	antibiotic inactivation	291
ARO:3001874	CTX-M beta-lactamase	CTX-M-11	cephalosporin	antibiotic inactivation	282
ARO:3001875	CTX-M beta-lactamase	CTX-M-12	cephalosporin	antibiotic inactivation	291
ARO:3001876	CTX-M beta-lactamase	CTX-M-13	cephalosporin	antibiotic inactivation	291
ARO:3001877	CTX-M beta-lactamase	CTX-M-14	cephalosporin	antibiotic inactivation	291
ARO:3001878	CTX-M beta-lactamase	CTX-M-15	cephalosporin;penam	antibiotic inactivation	291
ARO:3001879	CTX-M beta-lactamase	CTX-M-16	cephalosporin	antibiotic inactivation	291
ARO:3001880	CTX-M beta-lactamase	CTX-M-17	cephalosporin	antibiotic inactivation	291
ARO:3001881	CTX-M beta-lactamase	CTX-M-19	cephalosporin	antibiotic inactivation	291
ARO:3001882	CTX-M beta-lactamase	CTX-M-20	cephalosporin	antibiotic inactivation	291
ARO:3001883	CTX-M beta-lactamase	CTX-M-21	cephalosporin	antibiotic inactivation	291
ARO:3001884	CTX-M beta-lactamase	CTX-M-22	cephalosporin	antibiotic inactivation	291
ARO:3001885	CTX-M beta-lactamase	CTX-M-23	cephalosporin	antibiotic inactivation	291
ARO:3001886	CTX-M beta-lactamase	CTX-M-24	cephalosporin	antibiotic inactivation	291
ARO:3001887	CTX-M beta-lactamase	CTX-M-25	cephalosporin	antibiotic inactivation	291
ARO:3001888	CTX-M beta-lactamase	CTX-M-26	cephalosporin	antibiotic inactivation	291
ARO:3001889	CTX-M beta-lactamase	CTX-M-27	carbapenem;cephalosporin;penam	antibiotic inactivation	291
ARO:3001890	CTX-M beta-lactamase	CTX-M-28	cephalosporin	antibiotic inactivation	291
ARO:3001891	CTX-M beta-lactamase	CTX-M-29	cephalosporin	antibiotic inactivation	291
ARO:3001892	CTX-M beta-lactamase	CTX-M-30	cephalosporin	antibiotic inactivation	291
ARO:3001893	CTX-M beta-lactamase	CTX-M-31	cephalosporin	antibiotic inactivation	291
ARO:3001894	CTX-M beta-lactamase	CTX-M-32	cephalosporin	antibiotic inactivation	291
ARO:3001895	CTX-M beta-lactamase	CTX-M-33	cephalosporin	antibiotic inactivation	291
ARO:3001896	CTX-M beta-lactamase	CTX-M-34	cephalosporin	antibiotic inactivation	291
ARO:3001897	CTX-M beta-lactamase	CTX-M-35	cephalosporin	antibiotic inactivation	291
ARO:3001898	CTX-M beta-lactamase	CTX-M-36	cephalosporin	antibiotic inactivation	291
ARO:3001899	CTX-M beta-lactamase	CTX-M-37	cephalosporin	antibiotic inactivation	291
ARO:3001900	CTX-M beta-lactamase	CTX-M-38	cephalosporin	antibiotic inactivation	291
ARO:3001901	CTX-M beta-lactamase	CTX-M-39	cephalosporin	antibiotic inactivation	291
ARO:3001902	CTX-M beta-lactamase	CTX-M-40	cephalosporin	antibiotic inactivation	290
ARO:3001903	CTX-M beta-lactamase	CTX-M-41	cephalosporin	antibiotic inactivation	291
ARO:3001904	CTX-M beta-lactamase	CTX-M-42	cephalosporin	antibiotic inactivation	291
ARO:3001905	CTX-M beta-lactamase	CTX-M-43	cephalosporin	antibiotic inactivation	291
ARO:3001906	CTX-M beta-lactamase	CTX-M-44	cephalosporin	antibiotic inactivation	291
ARO:3001907	CTX-M beta-lactamase	CTX-M-45	cephalosporin	antibiotic inactivation	289
ARO:3001908	CTX-M beta-lactamase	CTX-M-46	cephalosporin	antibiotic inactivation	291
ARO:3001909	CTX-M beta-lactamase	CTX-M-47	cephalosporin	antibiotic inactivation	291
ARO:3001910	CTX-M beta-lactamase	CTX-M-48	cephalosporin	antibiotic inactivation	291
ARO:3001911	CTX-M beta-lactamase	CTX-M-49	cephalosporin	antibiotic inactivation	291
ARO:3001912	CTX-M beta-lactamase	CTX-M-50	cephalosporin	antibiotic inactivation	291
ARO:3001913	CTX-M beta-lactamase	CTX-M-51	cephalosporin	antibiotic inactivation	291
ARO:3001914	CTX-M beta-lactamase	CTX-M-52	cephalosporin	antibiotic inactivation	291
