BacMet_ID	Gene_name	Accession	gene lentgh	Organism	Location	Compound
BAC0539	chrR	P96977	243	Pseudomonas sp. (strain G-1)	Chromosome	Chromium (Cr)
BAC0538	chrR	Q7BD45	186	Pseudomonas putida	Chromosome	Chromium (Cr), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides], 2,6-dichloroindophenol [class: Phenolic Compounds]
BAC0537	copS	Q02541	487	Pseudomonas syringae	Plasmid pPT23D (Pseudomonas syringae pv. Tomato), Plasmid pPaCu1 (Pseudomonas syringae)	Copper (Cu)
BAC0536	oxyRkp	C4WZN6	305	Klebsiella pneumoniae NTUH-K2044	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides], Sodium Deoxycholate (SDC) [class: Acid], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0535	lmrS	Q5HE38	480	Staphylococcus aureus subsp. aureus COL	Chromosome	Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]
BAC0534	emrD-3	A5EYZ6	379	Vibrio cholerae O395	Chromosome	Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0533	cpxR	C4WZK6	232	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0532	cpxA	C4WZK5	457	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0531	phoR	C4X6T5	488	Klebsiella pneumoniae NTUH-K2044	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0530	phoB	C4X6T6	237	Klebsiella pneumoniae NTUH-K2044	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0529	kpnO	C4XBC3	365	Klebsiella pneumoniae NTUH-K2044	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Sodium Nitrite (NaNo2) [class: Nitrites]
BAC0528	vexC	Q9KR86	364	Vibrio cholerae serotype O1	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0527	vexA	Q9KVI1	368	Vibrio cholerae serotype O1	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol]
BAC0526	vmeV	Q87HZ7	1019	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0525	vmeU	Q87HZ8	353	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0524	vmeT	Q87HZ9	361	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0523	vmeQ	Q87IY5	1046	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid]
BAC0522	vmeP	Q87IY6	380	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid]
BAC0521	vmeK	Q87LY6	1043	Vibrio parahaemolyticus RIMD2210633	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene]
BAC0520	vmeJ	Q87LY5	371	Vibrio parahaemolyticus RIMD2210633	Chromosome	Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene]
BAC0519	vmeI	Q87QH1	1033	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0518	vmeH	Q87QH2	361	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0517	vmeG	Q87QH3	343	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Ethidium Bromide [class: Phenanthridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]
BAC0516	vpoC	Q87SJ8	442	Vibrio parahaemolyticus RIMD2210633	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Hoechst 33342 [class: Bisbenzimide], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid]
BAC0515	vmeZ	Q87GX5	1050	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Cholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0514	vmeY	Q87GX4	375	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Cholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0513	vmeF	Q87R57	1037	Vibrio parahaemolyticus RIMD2210633	Chromosome	Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Acriflavine [class: Acridine]
BAC0512	vmeE	Q87R58	364	Vibrio parahaemolyticus RIMD2210633	Chromosome	Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Glycocholate [class: Acid], Acriflavine [class: Acridine]
BAC0511	vmeD	Q87TN1	1040	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Cholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Rhodamine 6G [class: Xanthene], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Hoechst 33342 [class: Bisbenzimide]
BAC0510	vmeC	Q87TN0	368	Vibrio parahaemolyticus RIMD2210633	Chromosome	Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Cholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Rhodamine 6G [class: Xanthene], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Hoechst 33342 [class: Bisbenzimide]
BAC0509	vexH	Q9KTI8	1036	Vibrio cholerae serotype O1	Chromosome	Triton X-100 [class: Polyethylene glycol], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid] 
BAC0508	adeL	A3M732	337	Acinetobacter baumanni	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Safranin O [class: Azin], Acridine Orange [class: Acridine]
BAC0507	tolCsm	R4ITT0	452	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Acriflavine [class: Acridine], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Crystal Violet [class: Triarylmethane], Methyl Viologen [class: Paraquat], Plumbagin [class: Naphthoquinone], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide], Menadione [class: Naphthoquinone]
BAC0506	pcm	R4IUI7	215	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Acriflavine [class: Acridine]
BAC0505	farR	Q7DD70	146	Neisseria gonorrhoeae, Neisseria meningitidis serogroup B (strain MC58)	Chromosome	Palmitic acid [class: Free Fatty Acids]
BAC0504	farB	Q9RQ29	507	Neisseria gonorrhoeae F19	Chromosome	Phenylmercury Acetate [class: Organo-mercury], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Oleic acid [class: Free Fatty Acids], Linoleic acid [class: Free Fatty Acids], Palmitic acid [class: Free Fatty Acids], Triton X-100 [class: Polyethylene glycol]
BAC0503	farA	Q9RQ30	394	Neisseria gonorrhoeae F19	Chromosome	Phenylmercury Acetate [class: Organo-mercury], Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Oleic acid [class: Free Fatty Acids], Linoleic acid [class: Free Fatty Acids], Palmitic acid [class: Free Fatty Acids], Triton X-100 [class: Polyethylene glycol]
BAC0502	emrRsm	B2FIC7	147	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0501	emrCsm	B2FIC8	497	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0500	emrBsm	B2FID0	528	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0499	emrAsm	B2FIC9	393	Stenotrophomonas maltophilia (strain K279a)	Chromosome	Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]
BAC0498	ideR	P0A672	230	Mycobacterium tuberculosis	Chromosome	Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides], Plumbagin [class: Naphthoquinone]
BAC0497	pfr	P52093	167	Helicobacter pylori	Chromosome	Iron (Fe), Copper (Cu), Manganese (Mn)
BAC0496	adeN	B7H1T7	217	Acinetobacter baumanni	Chromosome	Safranin O [class: Azin], Acridine Orange [class: Acridine], Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0495	eefX	A8CY68	61	Klebsiella pneumoniae LM21	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0494	eefA	A8CY69	374	Klebsiella pneumoniae LM21	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0493	kmrA	C4X8X9	499	Klebsiella pneumoniae	Chromosome	Acriflavine [class: Acridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Hoechst 33342 [class: Bisbenzimide], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat], Ethidium Bromide [class: Phenanthridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]
BAC0492	kexD	A6TA71	1038	Klebsiella pneumoniae	Chromosome	Rhodamine 6G [class: Xanthene], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Sodium Cholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid] 
BAC0491	kdeA	A6T6T9	410	Klebsiella pneumoniae (strain MGH 78578)	Chromosome	Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0490	G2alt	B0FSM1	221	Anoxybacillus gonensis G2	Chromosome	Aluminium (Al)
BAC0489	ALU1-P	O52119	187	Arthrobacter viscosus ALRJJ6	Chromosome	Aluminium (Al)
BAC0488	pmrB	Q70FG9	364	Erwinia carotovora ssp. Carotovora	Chromosome	Iron (Fe)
BAC0487	pmrA	Q70FH0	222	Erwinia carotovora ssp. Carotovora	Chromosome	Iron (Fe)
BAC0486	pmrG	Q8ZNF4	201	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Iron (Fe)
BAC0485	pmrC	Q70FH1	548	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	Chromosome	Iron (Fe)
BAC0484	hupE2	D2WPE1	199	Rhizobium leguminosarum bv. viciae UPM791	Plasmid pRLUPM791b (Rhizobium leguminosarum bv. viciae UPM791b)	Nickel (Ni)
BAC0483	hupE	P27650	191	Rhizobium leguminosarum bv. Viciae	Plasmid pSym (Rhizobium leguminosarum bv. viciae)	Nickel (Ni)
BAC0482	dmeF	Q1MJL2	323	Rhizobium leguminosarum bv. viciae UPM791	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0481	pdrM	Q8DPQ6	453	Streptococcus pneumoniae	Chromosome	Acriflavine [class: Acridine], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine]
BAC0480	mmco	O53858	504	Mycobacterium tuberculosis	Chromosome	Copper (Cu)
BAC0479	adeT2	C7F8K7	238	Acinetobacter baumanni	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Rhodamine 123 [class: Xanthene], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Crystal Violet [class: Triarylmethane], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0478	adeT1	C7F8K6	304	Acinetobacter baumanni AC0037	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Rhodamine 123 [class: Xanthene], Methyl Viologen [class: Paraquat], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Acridine Orange [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0477	kpnF	C4X7Z4	109	Klebsiella pneumoniae NTUH-K2044	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Triclosan [class: Phenolic compounds], Methyl Viologen [class: Paraquat], Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0476	kpnE	C4X7Z3	120	Klebsiella pneumoniae NTUH-K2044	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], Triclosan [class: Phenolic compounds], Methyl Viologen [class: Paraquat], Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0475	dmeR	Q1MJL3	90	Rhizobium leguminosarum bv. viciae UPM791	Chromosome	Cobalt (Co), Nickel (Ni)
BAC0474	adeD	Q67GM1	374	Acinetobacter sp. 4365	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0473	adeC	Q93E18	465	Acinetobacter baumanni	Chromosome	Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0472	adeB	Q93E19	1035	Acinetobacter baumanni	Chromosome	Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergise, Wex-cide-128.
BAC0471	adeA	Q93E20	396	Acinetobacter baumanni	Chromosome	Pyronin Y [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Acriflavine [class: Acridine], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides], 4,6-diamidino-2-phenylindole (DAPI) [class: Diamindine], Sodium Deoxycholate (SDC) [class: Acid],  Ethidium Bromide [class: Phenanthridine], Methyl Viologen [class: Paraquat], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 123 [class: Xanthene], Synergize [class: QAC-Glutaraldehyde], Wex-cide-128 [class: Phenyl]
BAC0470	zur/yjbK	P0AC51	171	Escherichia coli (strain K12)	Chromosome	Zinc (Zn)
BAC0469	zupT/ygiE	P0A8H3	257	Escherichia coli (strain K12)	Chromosome	Zinc (Zn), Iron (Fe), Cobalt (Co), Nickel (Ni), Copper (Cu), Cadmium (Cd)
BAC0468	zraS/hydG	P14377	465	Escherichia coli (strain K12)	Chromosome	Zinc (Zn), Lead (Pb)
BAC0467	zraR/hydH	P14375	441	Escherichia coli (strain K12)	Chromosome	Zinc (Zn)
BAC0466	zraP	Q9L9I0	151	Salmonella typhimurium (strain LT2/SGSC1412/ATCC 700720) 	Chromosome	Zinc (Zn)
BAC0465	znuC/yebM	P0A9X1	251	Escherichia coli (strain K12)	Chromosome	Zinc (Zn)
BAC0464	znuB/yebI	P39832	261	Escherichia coli (strain K12)	Chromosome	Zinc (Zn)
BAC0463	znuA/yebL	P39172	310	Escherichia coli (strain K12)	Chromosome	Zinc (Zn)
BAC0462	zntR/yhdM	P0ACS5	141	Escherichia coli (strain K12)	Chromosome	Zinc (Zn)
BAC0461	zntA/yhhO	P37617	732	Escherichia coli (strain K12)	Chromosome	Lead (Pb), Cadmium (Cd), Zinc (Zn)
BAC0460	zneB/hmxB	Q1LCD7	385	Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)	Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839))	Zinc (Zn)
BAC0459	zitB/ybgR	P75757	313	Escherichia coli (strain K12)	Chromosome	Zinc (Zn)
BAC0458	zipB	Q7WJT8	309	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus)	Chromosome	Zinc (Zn), Cadmium (Cd)
BAC0457	zinT/yodA	P76344	216	Escherichia coli (strain K12)	Chromosome	Cadmium (Cd), Zinc (Zn)
BAC0456	ziaR	Q55940	132	Synechocystis sp. (strain PCC 6803 / Kazusa)	Chromosome	Zinc (Zn)
BAC0455	ziaA	Q59998	721	Synechocystis sp. (strain PCC 6803 / Kazusa)	Chromosome	Zinc (Zn)
BAC0454	zevB	P44136	322	Haemophilus influenzae	Chromosome	Zinc (Zn)
BAC0453	zevA	P44137	206	Haemophilus influenzae	Chromosome	Zinc (Zn)
BAC0452	yqjH	Q46871	254	Escherichia coli (strain K12)	Chromosome	Iron (Fe), Nickel (Ni)
BAC0451	yodD	P64519	75	Escherichia coli (strain K12)	Chromosome	Cadmium (Cd), Hydrogen Peroxide (H2O2) [class: Peroxides], Hydrochloric acid (HCl) [class: Acid]
BAC0450	ymgB/ariR	P75993	88	Escherichia coli (strain K12)	Plasmid pPag3 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))	Hydrochloric Acid (HCl) [class: Acid], Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0449	ykkD	P49857	105	Bacillus subtilis (strain 168)	Chromosome	Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Methyl Viologen [class: Paraquat]
BAC0448	ykkC	P49856	112	Bacillus subtilis (strain 168)	Chromosome	Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Methyl Viologen [class: Paraquat]
BAC0447	yjaA	P09162	127	Escherichia coli (strain K12)	Chromosome	Cadmium (Cd), Hydrogen Peroxide (H2O2) [class: Peroxides], Hydrochloric acid (HCl) [class: Acid]
BAC0446	yhcN	P64614	87	Escherichia coli (strain K12)	Chromosome	Cadmium (Cd), Hydrogen Peroxide (H2O2) [class: Peroxides], Hydrochloric acid (HCl) [class: Acid]
BAC0445	ygiW	P0ADU5	130	Escherichia coli	Plasmid pMR-1 (Shewanella oneidensis (strain MR-1))	Cadmium (Cd), Tributyltin (TBT) [class: Organo-tin], Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0444	yfmP	O06474	140	Bacillus subutilis (strain 168)	Chromosome	Copper (Cu)
BAC0443	yfmO	O06473	396	Bacillus subtilis (strain 168) 	Chromosome	Copper (Cu)
BAC0442	yfeD	Q56955	297	Yersinia pestis	Chromosome	Iron (Fe), Manganese (Mn)
BAC0441	yfeC	Q56954	294	Yersinia pestis	Chromosome	Iron (Fe), Manganese (Mn)
BAC0440	yfeB	Q56953	296	Yersinia pestis	Chromosome	Iron (Fe), Manganese (Mn)
BAC0439	yfeA	Q56952	311	Yersinia pestis	Chromosome	Iron (Fe), Manganese (Mn)
BAC0438	ydeP	P77561	759	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid]
BAC0437	ydeO	P76135	253	Escherichia coli (strain K12)	Chromosome	Hydrochloric acid (HCl) [class: Acid], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]
BAC0436	ydeI	P31130	130	Escherichia coli (strain K12)	Chromosome	Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0435	yddg/emrE	D0ZXP9	293	Salmonella typhimurium (strain 14028s/SGSC 2262)	Chromosome	Methyl Viologen [class: Paraquat]
BAC0434	ychH	P0AB49	92	Escherichia coli (strain K12)	Chromosome	Cadmium (Cd), Hydrogen Peroxide (H2O2) [class: Peroxides]
BAC0433	ybtQ	Q9Z375	600	Yersinia pestis	Chromosome	Iron (Fe)
BAC0432	ybtP	Q9R7V3	600	Yersinia pestis	Chromosome	Iron (Fe)
BAC0431	vmrA	Q93HR7	447	Vibrio parahaemolyticus	Chromosome	4,6-diamidino-2-phenylindole (DAPI) [class: Diamidine], Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]
BAC0430	vmeB	Q2AAU3	1053	Vibrio parahaemolyticus	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid]
BAC0429	vmeA	Q2AAU4	379	Vibrio parahaemolyticus	Chromosome	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Crystal Violet [class: Triarylmethane], Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Sodium Deoxycholate (SDC) [class: Acid]
BAC0428	vexK	Q9KRG9	1037	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	Chromosome	Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol]
BAC0427	vexF	A6P7H3	1039	Vibrio cholerae 2740-80	Chromosome	Ethidium Bromide [class: Phenanthridine]
BAC0426	vexE	A6P7H2	366	Vibrio cholerae 2740-80	Chromosome	Ethidium Bromide [class: Phenanthridine]
